,path_no,path_treat,pvalue,lsmean,SE,df,asymp.LCL,asymp.UCL,direction,plantsp
121,51,path_treat51,0.719977411,0.790674217,0.188711529,Inf,0.287871992,0.972447698,+,IW
122,53,path_treat53,0.514421434,1,3.66562121251342e-09,Inf,2.22044604925031e-16,1,+,IW
123,55,path_treat55,0.827931505,1,3.42398444751556e-09,Inf,2.22044604925031e-16,1,+,IW
124,56,path_treat56,0.980354853,0.901169106,0.111616863,Inf,0.438807527,0.990683134,+,IW
125,57,path_treat574,0.326479887,0.914894323,0.082478121,Inf,0.574142106,0.988468318,+,IW
126,58,path_treat584,0.896424459,0.844351103,0.103214057,Inf,0.537848686,0.961956767,+,IW
127,59,path_treat594,0.146363949,1,6.69509674926708e-10,Inf,2.22044604925031e-16,1,+,IW
128,64,path_treat644,0.635524067,1,2.59038816546819e-09,Inf,2.22044604925031e-16,1,+,IW
129,73,path_treat733,0.586910096,0.849039309,0.147939322,Inf,0.369313949,0.981824412,+,IW
130,74,path_treat744,0.965689352,0.654320529,0.212096918,Inf,0.231510879,0.922439985,+,IW
131,76,path_treat764,0.833343626,0.858157119,0.141099196,Inf,0.384171322,0.983242579,+,IW
132,83,path_treat834,0.720248693,1,3.60143494885393e-09,Inf,2.22044604925031e-16,1,+,IW
133,85,path_treat854,0.875363533,0.703052659,0.177871807,Inf,0.30831403,0.926339026,+,IW
134,87,path_treat874,0.832779102,1,5.0154293679026e-09,Inf,2.22044604925031e-16,1,+,IW
135,92,path_treat924,0.79581489,0.840881456,0.146219036,Inf,0.382940649,0.978261404,+,IW
