"","path_treat","lsmean","SE","df","asymp.LCL","asymp.UCL","plantsp"
"55","23",0.759772648621316,0.28329741326565,Inf,0.131159625335691,0.985132686541834,"SL"
"56","29",0.6565653358274,0.269736942898481,Inf,0.154914798830749,0.952239280616209,"SL"
"57","35",0.171513486177243,0.246363598306298,Inf,0.00687424227934377,0.860949486307945,"SL"
"58","45",0.94783181786717,0.0723481048945034,Inf,0.507992889293526,0.996881980409852,"SL"
"59","57",0.99999994102163,0.00010878161743139,Inf,2.22044604925031e-16,1,"SL"
"60","58",0.910019746717249,0.138573126706414,Inf,0.268352240665984,0.99642693081152,"SL"
"61","59",0.889058001732737,0.154128952916734,Inf,0.272582828738269,0.994198771849832,"SL"
"62","64",0.175899762337396,0.17638645746703,Inf,0.0192791032057377,0.698572700673348,"SL"
"63","68",0.206113397650708,0.298027530677932,Inf,0.00725862042889225,0.902141790692427,"SL"
"64","70",0.843087616027955,0.183674168714864,Inf,0.261178373743982,0.987902910322264,"SL"
"65","72",0.906372816193935,0.13094606331026,Inf,0.319902991004935,0.995005830947443,"SL"
"66","73",2.09362046105825e-10,1.40968959347461e-05,Inf,2.22044604925031e-16,1,"SL"
"67","74",0.743677985363351,0.183858780632242,Inf,0.30464806108431,0.950527874420177,"SL"
"68","75",0.00179707949302973,0.029589075176146,Inf,2.22044604925031e-16,0.999999999994938,"SL"
"69","76",0.819487027618351,0.13515969831247,Inf,0.430965096989795,0.964554379821087,"SL"
"70","83",0.747693393398416,0.221170326587668,Inf,0.229434351080248,0.967207201766167,"SL"
"71","84",1.74483816409803e-10,5.58450976941418e-05,Inf,2.22044604925031e-16,1,"SL"
"72","85",0.0989622234220705,0.125172543866864,Inf,0.00696303859866098,0.632401681760808,"SL"
"73","86",4.36466843422914e-05,0.000719025949895243,Inf,2.22044604925031e-16,0.999999999782775,"SL"
"74","87",0.34758263052063,0.26837097460256,Inf,0.0497737493084811,0.844204201998249,"SL"
"75","90",2.22044604925031e-16,6.66400187462506e-09,Inf,2.22044604925031e-16,1,"SL"
"76","92",0.934806733495755,0.109892788693628,Inf,0.294998571665914,0.997969005303314,"SL"
"77","sterile",0.652438801119063,0.0819029048707837,Inf,0.480477276032607,0.792108781964854,"BS"
"78","1",0.676419489208794,0.249823043247024,Inf,0.182467642332664,0.951406358276718,"BS"
"79","10",0.999999999995895,6.69008697083677e-07,Inf,2.22044604925031e-16,1,"BS"
"80","12",0.895240918215527,0.108132952942735,Inf,0.471432639083397,0.987934344887228,"BS"
"81","14",0.811426057545751,0.178172354699343,Inf,0.305144523217966,0.976831588869015,"BS"
"82","16",0.999999999998348,3.5603377416292e-07,Inf,2.22044604925031e-16,1,"BS"
"83","17",0.862122899701992,0.097232221525779,Inf,0.557198729689963,0.968819014744186,"BS"
"84","18",0.86646844931071,0.0921638399944973,Inf,0.57660197384041,0.968669648596098,"BS"
"85","19",0.797073550739462,0.111330837640442,Inf,0.504764387483799,0.938030992143329,"BS"
"86","2",0.720107659675524,0.228681483069446,Inf,0.217758256281337,0.959641962593567,"BS"
"87","20",0.888257669288173,0.118029901295297,Inf,0.435949347830485,0.987916419227413,"BS"
"88","21",0.861911882855009,0.123108776741942,Inf,0.451146719017359,0.979337596169519,"BS"
"89","22",0.906981535391275,0.100673526861152,Inf,0.484632256464061,0.990205955791107,"BS"
"90","23",0.769509154991691,0.138986407154737,Inf,0.418162045071019,0.939426175114775,"BS"
"91","25",0.480796006160259,0.305712079611289,Inf,0.07747685113064,0.910798652628245,"BS"
