,path_no,path_treat,pvalue,lsmean,SE,df,lower.CL,upper.CL,direction,plantsp,biomass
84,23,path_treat233,0.066373941,0.002589561,0.001329348,133.8347543,-6.28E-06,0.005252791,+,BS,below
85,25,path_treat25,0.782354092,0.004315063,0.003630047,133.8131146,-0.002623123,0.011747602,+,BS,below
86,26,path_treat26,0.681215557,0.004525368,0.001842955,74.4610722,0.000917322,0.008262412,+,BS,below
87,29,path_treat293,0.782354092,0.004315063,0.003551083,133.770936,-0.002477242,0.011580442,+,BS,below
88,35,path_treat353,0.484235975,0.00380623,0.002035851,133.8017483,-0.000143287,0.007911958,+,BS,below
89,45,path_treat453,0.413755701,0.002380223,0.003458491,133.7829152,-0.00423666,0.009454308,-,BS,below
90,57,path_treat573,0.927675696,0.005163731,0.00149826,133.902728,0.002241776,0.008169192,+,BS,below
91,58,path_treat583,0.0534964,0.008448829,0.001521998,133.9088156,0.005479958,0.011501263,+,BS,below
92,59,path_treat593,0.613775481,0.006179698,0.001616663,133.9007916,0.003029864,0.009425828,+,BS,below
93,64,path_treat643,0.546435098,0.004351584,0.001463649,133.8728821,0.001496501,0.007286979,+,BS,below
94,7,path_treat7,0.458104419,0.004031517,0.001610393,113.9066835,0.000889733,0.007271139,+,BS,below
95,73,path_treat732,0.911279775,0.005015591,0.00253338,133.7798389,0.000122591,0.010147711,+,BS,below
96,74,path_treat743,0.428089603,0.00248176,0.00348822,133.7751155,-0.004190331,0.00961849,-,BS,below
97,76,path_treat763,0.817396305,0.00574723,0.001804888,133.7546647,0.002237,0.009377981,+,BS,below
98,8,path_treat8,0.15634952,0.007788453,0.001682044,120.9912647,0.004509314,0.01117048,+,BS,below
99,83,path_treat833,0.204147988,0.002052812,0.002454937,133.7935086,-0.002688995,0.00702568,-,BS,below
100,85,path_treat853,0.276121747,0.007691063,0.002140142,133.5561802,0.003540219,0.012008312,+,BS,below
101,87,path_treat873,0.205219733,0.002932779,0.001759423,133.9035635,-0.000488912,0.006472125,+,BS,below
102,9,path_treat9,0.852519478,0.004990542,0.001607341,133.768539,0.001859101,0.008218253,+,BS,below
