"","path_treat","lsmean","SE","df","lower.CL","upper.CL","plantsp","biomass"
"42","59",0.0396095901487736,0.00487244782821636,171.838832530922,0.0303158283371372,0.0495661571600054,"DB","below"
"43","64",0.0247471401586884,0.00488379766538656,175.891078710536,0.0154716960087745,0.0347676488322205,"DB","below"
"44","73",0.0355694787555126,0.00528118427977589,172.283497674912,0.0255360109214036,0.046404871678998,"DB","below"
"45","74",0.0479613341836138,0.00656713815696239,180.417201348843,0.0355542840670124,0.0615039802251641,"DB","below"
"46","76",0.0197459617324854,0.00468663195754716,176.694016606517,0.0108451503563631,0.029361503910078,"DB","below"
"47","83",0.0306948149749456,0.00479186213384525,180.845542982232,0.0215735810540456,0.0405003826755899,"DB","below"
"48","85",0.0222591872372042,0.00407204216799028,180.864669758658,0.0144827004374744,0.0305639088419768,"DB","below"
"49","87",0.0211482957520625,0.00439070479909109,180.731711126326,0.0127871847026612,0.0301292305710234,"DB","below"
"50","92",0.0246443036817955,0.00322372246988623,180.531925907853,0.018442868002158,0.0311704343400111,"DB","below"
"51","sterile",0.0028198443861422,0.00109693574802843,66.4347555237316,0.000653163639748461,0.00503316554886299,"SL","below"
"52","17",0.00470170283889924,0.00194515126057836,66.906235540909,0.000890172637532563,0.00865722885369488,"SL","below"
"53","18",0.00422935571110504,0.00205609312885157,62.8392087574636,0.000200314878935792,0.00842040371906909,"SL","below"
"54","19",0.00466380585253512,0.00164408564956815,66.8103129202533,0.00143294315313171,0.00799757864660705,"SL","below"
"55","23",0.00451293409395724,0.0018365564455998,66.6592035499472,0.000910362827030289,0.00824411970107373,"SL","below"
"56","29",0.00260963922062227,0.00275708075755271,63.8958723476626,-0.00275320935625456,0.0082682316947334,"SL","below"
"57","35",0.00434098883142567,0.00395557961466276,60.5042800057106,-0.00327753059932091,0.0125595946606721,"SL","below"
"58","45",0.00327372284983055,0.00163727741939376,66.8103216535057,5.67040860869755e-05,0.00659417505984648,"SL","below"
"59","57",0.00310095299481969,0.00144446782233436,66.832698209541,0.000257594216636237,0.00602495094258068,"SL","below"
"60","58",0.00510195483659437,0.00176460612189754,66.4609535488712,0.00163764193370083,0.00868434863610083,"SL","below"
"61","59",0.00284802001190879,0.00155564574099646,66.6526753804873,-0.00021094593999485,0.0060007564958918,"SL","below"
"62","64",0.0017593172285828,0.00374055800661711,65.3493003578396,-0.00544276753584827,0.00950995892094338,"SL","below"
"63","68",0.0019607352939226,0.00374385220387745,65.353418917081,-0.00524797043713207,0.00971787717517562,"SL","below"
"64","70",0.000960421705689121,0.00371119150607448,65.3493003578396,-0.00618512068571403,0.00865021439555815,"SL","below"
"65","74",0.00133350509029867,0.00274923306097117,66.5677166957011,-0.00400867225379092,0.0069729890707873,"SL","below"
"66","76",0.0033366319355889,0.00189149964976611,65.5473975706938,-0.000372164018366997,0.0071834933939548,"SL","below"
"67","83",0.00447776447147537,0.00195053353161987,66.9554300438819,0.000656084655973457,0.00844454467173925,"SL","below"
"68","85",0.0106487994393244,0.00209916828614893,63.9724728469462,0.00653366855579897,0.0149228876029109,"SL","below"
"69","87",0.00805954747109826,0.00189597196604199,66.3890820316894,0.00434005323861021,0.0119116335215517,"SL","below"
"70","92",0.0027308700606352,0.00179386341919872,65.9994256793192,-0.000788980608471462,0.00637559948624286,"SL","below"
"71","sterile",0.00530945055761414,0.000662243261788523,123.002472141478,0.00400670585404576,0.0066285128990573,"BS","below"
"72","1",0.00389259943989609,0.00180402065306574,107.878131263858,0.000377512498956803,0.0075307800488767,"BS","below"
"73","10",0.00480314284803569,0.00161192912892433,133.894413203702,0.00166300896948207,0.00804026815813548,"BS","below"
"74","12",0.00704068929085784,0.00185548976988268,133.992148774859,0.00343304833902032,0.0107741611395545,"BS","below"
"75","14",0.00381685805142565,0.0018126326695426,107.016348991862,0.000285006578080879,0.00747309476694573,"BS","below"
"76","16",0.00527113379282138,0.00163854215107847,133.994304256416,0.00207975667508083,0.0085622847368266,"BS","below"
"77","17",0.0052668156567518,0.00112937543089922,133.859410544081,0.00305661923676809,0.00752441289631493,"BS","below"
"78","18",0.00883698571145078,0.00130943876865616,133.909470401474,0.00627769887016881,0.0114579030660539,"BS","below"
"79","19",0.00567119532827075,0.00127530640796289,125.508353511093,0.00317720780059391,0.00822546723387171,"BS","below"
"80","2",0.00392686053084604,0.00210130798139536,93.6094669204147,-0.000162915803948435,0.00818417251237272,"BS","below"
"81","20",0.00523408809611121,0.00218463246719999,99.0497941073473,0.000987394719906748,0.00965936222174009,"BS","below"
"82","21",0.00375788713841631,0.00214759739353521,101.661706166029,-0.000415768484533799,0.00810646404151184,"BS","below"
"83","22",0.00731710004768089,0.00186865739060111,110.66998689219,0.00367726660333136,0.0110847183761873,"BS","below"
"84","23",0.00258956074312069,0.00132934797581046,133.834754280243,-6.28124961364607e-06,0.00525279092518786,"BS","below"
"85","25",0.00431506347603433,0.00363004747346212,133.813114645977,-0.00262312327512498,0.0117476020385582,"BS","below"
"86","26",0.00452536847844597,0.00184295489871219,74.4610722036483,0.000917321611419622,0.00826241205274506,"BS","below"
"87","29",0.00431506347603433,0.00355108347907313,133.770936019977,-0.00247724171684409,0.0115804419355573,"BS","below"
"88","35",0.00380623028693204,0.00203585081672334,133.801748313581,-0.000143286763408398,0.00791195801580716,"BS","below"
"89","45",0.00238022320517672,0.00345849101388024,133.782915234121,-0.00423666022953213,0.00945430817957152,"BS","below"
"90","57",0.00516373111404463,0.00149825955692329,133.902727952423,0.00224177608674561,0.00816919233136046,"BS","below"
"91","58",0.00844882942218309,0.00152199812938188,133.908815560182,0.0054799584417681,0.011501263147868,"BS","below"
"92","59",0.00617969762146396,0.00161666282425019,133.90079162076,0.00302986379353487,0.00942582831690564,"BS","below"
"93","64",0.00435158365003753,0.00146364911792582,133.872882065932,0.00149650089793947,0.00728697949124911,"BS","below"
"94","7",0.00403151726920521,0.00161039251415065,113.906683529582,0.000889732840447591,0.00727113929866691,"BS","below"
"95","73",0.0050155905016943,0.00253337967037673,133.779838867877,0.000122591041287853,0.0101477112580095,"BS","below"
"96","74",0.00248176015891996,0.00348822046349851,133.775115474675,-0.0041903313826757,0.00961848962466123,"BS","below"
"97","76",0.00574722982840908,0.00180488751411806,133.754664722421,0.00223699963759243,0.00937798112250732,"BS","below"
"98","8",0.00778845292234318,0.00168204447946462,120.991264664543,0.00450931401636689,0.011170479805969,"BS","below"
"99","83",0.00205281224907244,0.0024549365721113,133.79350857277,-0.00268899465986799,0.00702567969102334,"BS","below"
"100","85",0.00769106332608144,0.00214014222570423,133.556180150579,0.00354021869045987,0.0120083120064982,"BS","below"
"101","87",0.0029327791716838,0.00175942327123673,133.903563486942,-0.00048891177245669,0.00647212503374099,"BS","below"
"102","9",0.0049905421799351,0.00160734084454487,133.768538954184,0.00185910086293983,0.00821825299704089,"BS","below"
"103","92",0.00525654530577722,0.00146796004914506,133.744045021874,0.00239280409621657,0.00820038016828276,"BS","below"
"104","sterile",0.0098603076076733,0.00188219582148083,131.666810224646,0.00619943644179081,0.0136473750900545,"IW","below"
"105","17",0.0159318325044383,0.00453010074692913,147.992358531745,0.00731669728782909,0.0252385707676956,"IW","below"
"106","18",0.00760988578297789,0.00451908225340657,147.651627426615,-0.00096002593880247,0.0169213504748118,"IW","below"
"107","19",0.00722161719387196,0.00450649000140361,147.996889861188,-0.00132396844486424,0.0165072714466177,"IW","below"
"108","23",0.00873147365143898,0.00427721131133618,147.470951987456,0.000599120765015948,0.017521239475136,"IW","below"
"109","29",0.0134394153929458,0.00825001636631334,147.916479571328,-0.00174635174539294,0.0309722457465075,"IW","below"
"110","35",0.00732630469864111,0.0109232500280172,146.57081121099,-0.0122286082618679,0.0312379290353803,"IW","below"
"111","45",0.0641523968459366,0.0084414287998732,147.999836064806,0.0482906868653278,0.0817107328846433,"IW","below"
"112","47",0.0105498531504166,0.00516533267278713,146.569309626846,0.000798832983727862,0.0212441619592122,"IW","below"
"113","48",0.0133162603266712,0.00539148883834501,141.822271757374,0.0031440667679335,0.0244916480102754,"IW","below"
"114","49",0.0113158842368601,0.00664489420503346,147.98245693981,-0.00107033683502816,0.0252528886383737,"IW","below"
"115","51",0.00938203346277768,0.00574052070233832,132.045097805848,-0.00140371257655157,0.0213476648777629,"IW","below"
